seed,condition,hardening,original_all_correct_ticks,fresh_all_correct_ticks,all_zero_correct_ticks,all_one_correct_ticks,universal_status,certified_visible_settling_tick,mixed_cycle_initialization_count,unresolved_trajectory_count,visible_core_binary_nodes
7,categorical_reference_decay,common,32;64;128;256,32;64;128;256,25;32;64;128;256,32;64;128;256,all_initial_states_visible_target_certified,30,0,0,30
7,categorical_reference_decay,native,32;64;128;256,32;64;128;256,25;32;64;128;256,32;64;128;256,all_initial_states_visible_target_certified,30,0,0,30
7,truth_no_decay,common,,,,,persistent_visible_failure_certified,,0,0,130
7,truth_no_decay,native,,,,,persistent_visible_failure_certified,,0,0,130
7,truth_reference_decay,common,64;128;256,64;128;256,64;128;256,64;128;256,all_initial_states_visible_target_certified,48,0,0,131
7,truth_reference_decay,native,64;128;256,64;128;256,64;128;256,64;128;256,all_initial_states_visible_target_certified,48,0,0,131
8,categorical_no_decay,common,,,,,persistent_visible_failure_certified,,0,0,17
8,categorical_no_decay,native,,,,,persistent_visible_failure_certified,,0,0,17
8,categorical_reference_decay,common,,,,,inconclusive,,0,0,12
8,categorical_reference_decay,native,,,,,inconclusive,,0,0,12
8,truth_no_decay,common,,,,,persistent_visible_failure_certified,,0,0,98
8,truth_no_decay,native,,,,,persistent_visible_failure_certified,,0,0,98
8,truth_reference_decay,common,,,,,persistent_visible_failure_certified,,0,0,145
8,truth_reference_decay,native,,,,,persistent_visible_failure_certified,,0,0,145
9,categorical_no_decay,common,25;32;64;128;256,25;32;64;128;256,25;32;64;128;256,22;25;32;64;128;256,all_initial_states_visible_target_certified,25,0,0,5
9,categorical_no_decay,native,25;32;64;128;256,25;32;64;128;256,25;32;64;128;256,22;25;32;64;128;256,all_initial_states_visible_target_certified,25,0,0,5
9,categorical_reference_decay,common,,,,,persistent_visible_failure_certified,,0,0,7
9,categorical_reference_decay,native,,,,,persistent_visible_failure_certified,,0,0,6
9,truth_no_decay,common,,,25;32;64;128;256,32;64;128;256,inconclusive,,17,0,83
9,truth_no_decay,native,,,25;32;64;128;256,32;64;128;256,inconclusive,,17,0,83
9,truth_reference_decay,common,,,,,persistent_visible_failure_certified,,0,0,146
9,truth_reference_decay,native,,,,,persistent_visible_failure_certified,,0,0,146
10,categorical_no_decay,common,,,,,persistent_visible_failure_certified,,0,0,35
10,categorical_no_decay,native,,,,,persistent_visible_failure_certified,,0,0,35
10,categorical_reference_decay,common,,,,,persistent_visible_failure_certified,,0,0,31
10,categorical_reference_decay,native,,,,,persistent_visible_failure_certified,,0,0,30
10,truth_no_decay,common,,,,,persistent_visible_failure_certified,,0,0,66
10,truth_no_decay,native,,,,,persistent_visible_failure_certified,,0,0,66
10,truth_reference_decay,common,32;64;128;256,32;64;128;256,32;64;128;256,32;64;128;256,all_initial_states_visible_target_certified,29,0,0,86
10,truth_reference_decay,native,32;64;128;256,32;64;128;256,32;64;128;256,32;64;128;256,all_initial_states_visible_target_certified,29,0,0,86
11,categorical_no_decay,common,,,,,persistent_visible_failure_certified,,0,0,11
11,categorical_no_decay,native,,,,,persistent_visible_failure_certified,,0,0,11
11,categorical_reference_decay,common,,,,,inconclusive,,0,0,28
11,categorical_reference_decay,native,,,,,inconclusive,,0,0,25
11,truth_no_decay,common,,,,,persistent_visible_failure_certified,,0,0,47
11,truth_no_decay,native,,,,,persistent_visible_failure_certified,,0,0,47
11,truth_reference_decay,common,,,,,inconclusive,,0,0,171
11,truth_reference_decay,native,,,,,inconclusive,,0,0,171
12,categorical_no_decay,common,,,,,inconclusive,,0,0,19
12,categorical_no_decay,native,,,,,inconclusive,,0,0,19
12,categorical_reference_decay,common,,,,,persistent_visible_failure_certified,,0,0,30
12,categorical_reference_decay,native,,,,,persistent_visible_failure_certified,,0,0,30
12,truth_no_decay,common,,,,,persistent_visible_failure_certified,,0,0,199
12,truth_no_decay,native,,,,,persistent_visible_failure_certified,,0,0,199
12,truth_reference_decay,common,,,,,persistent_visible_failure_certified,,0,7,236
12,truth_reference_decay,native,,,,,persistent_visible_failure_certified,,0,7,236
13,categorical_no_decay,common,,,,,persistent_visible_failure_certified,,0,0,4
13,categorical_no_decay,native,,,,,persistent_visible_failure_certified,,0,0,4
13,categorical_reference_decay,common,22;25;32;64;128;256,25;32;64;128;256,22;25;32;64;128;256,21;22;25;32;64;128;256,all_initial_states_visible_target_certified,25,0,0,31
13,categorical_reference_decay,native,22;25;32;64;128;256,25;32;64;128;256,22;25;32;64;128;256,21;22;25;32;64;128;256,all_initial_states_visible_target_certified,25,0,0,31
13,truth_no_decay,common,,,,,persistent_visible_failure_certified,,0,0,163
13,truth_no_decay,native,,,,,persistent_visible_failure_certified,,0,0,163
13,truth_reference_decay,common,,,,,persistent_visible_failure_certified,,0,0,159
13,truth_reference_decay,native,,,,,persistent_visible_failure_certified,,0,0,159
14,categorical_no_decay,common,,,,,inconclusive,,0,64,3
14,categorical_no_decay,native,,,,,inconclusive,,0,64,3
14,categorical_reference_decay,common,,,21;25,20;22;32;64;128;256,inconclusive,,46,0,5
14,categorical_reference_decay,native,,,21;25,20;22;32;64;128;256,inconclusive,,46,0,5
14,truth_no_decay,common,,,21;25,20;22;32;64;128;256,inconclusive,,64,0,89
14,truth_no_decay,native,,,21;25,20;22;32;64;128;256,inconclusive,,64,0,89
14,truth_reference_decay,common,20;22;32;64;128;256,20;22;32;64;128;256,20;22;32;64;128;256,20;22;32;64;128;256,inconclusive,,66,0,90
14,truth_reference_decay,native,20;22;32;64;128;256,20;22;32;64;128;256,20;22;32;64;128;256,20;22;32;64;128;256,inconclusive,,66,0,90
15,categorical_no_decay,common,20;21;22;25;32;64;128;256,20;21;22;25;32;64;128;256,20;21;22;25;32;64;128;256,20;21;22;25;32;64;128;256,all_initial_states_visible_target_certified,20,0,0,9
15,categorical_no_decay,native,20;21;22;25;32;64;128;256,20;21;22;25;32;64;128;256,20;21;22;25;32;64;128;256,20;21;22;25;32;64;128;256,all_initial_states_visible_target_certified,20,0,0,9
15,categorical_reference_decay,common,,,,,persistent_visible_failure_certified,,0,0,36
15,categorical_reference_decay,native,,,,,persistent_visible_failure_certified,,0,0,35
15,truth_no_decay,common,,,,,persistent_visible_failure_certified,,0,0,61
15,truth_no_decay,native,,,,,persistent_visible_failure_certified,,0,0,61
15,truth_reference_decay,common,,,,,persistent_visible_failure_certified,,0,0,97
15,truth_reference_decay,native,,,,,persistent_visible_failure_certified,,0,0,97
